Release Date,Movie,Production Budget,Domestic Gross,Worldwide Gross
5/10/13,The Great Gatsby,"$190,000,000 ","$144,840,419 ","$351,040,419 "
,,,,
11/6/09,Disney’s A Christmas Carol,"$190,000,000 ","$137,855,863 ","$315,709,697 "
,,,,
7/12/13,Pacific Rim,"$190,000,000 ","$101,802,906 ","$411,002,906 "
,,,,
11/25/15,The Good Dinosaur,"$187,500,000 ","$123,087,120 ","$333,771,037 "
,,,,
5/2/08,Iron Man,"$186,000,000 ","$318,604,126 ","$585,171,547 "
,,,,
7/18/08,The Dark Knight,"$185,000,000 ","$533,345,358 ","$1,001,620,618 "
,,,,
5/22/08,Indiana Jones and the Kingdom of the Crystal Skull,"$185,000,000 ","$317,101,119 ","$786,635,413 "
,,,,
6/22/12,Brave,"$185,000,000 ","$237,282,182 ","$554,606,532 "
,,,,
3/10/17,Kong: Skull Island,"$185,000,000 ","$168,052,812 ","$561,089,941 "
,,,,
7/22/16,Star Trek Beyond,"$185,000,000 ","$158,848,340 ","$335,828,400 "
,,,,
10/6/17,Blade Runner 2049,"$185,000,000 ","$92,054,159 ","$259,344,059 "
,,,,
11/3/17,Thor: Ragnarok,"$180,000,000 ","$315,058,289 ","$847,830,503 "
,,,,
12/9/05,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","$180,000,000 ","$291,710,957 ","$720,539,572 "
,,,,
5/30/14,Maleficent,"$180,000,000 ","$241,407,328 ","$758,536,735 "
,,,,
11/18/16,Fantastic Beasts and Where to Find Them,"$180,000,000 ","$234,037,575 ","$802,442,198 "
,,,,
6/27/08,WALL-E,"$180,000,000 ","$223,808,164 ","$532,508,025 "
,,,,
8/10/07,Rush Hour 3,"$180,000,000 ","$140,125,968 ","$256,585,882 "
,,,,
7/1/16,The Legend of Tarzan,"$180,000,000 ","$126,643,061 ","$349,133,078 "
,,,,
11/23/11,Hugo,"$180,000,000 ","$73,864,507 ","$180,047,784 "
,,,,
7/21/17,Valerian and the City of a Thousand Planets,"$180,000,000 ","$40,479,370 ","$215,098,499 "
,,,,
2/6/15,Jupiter Ascending,"$179,000,000 ","$47,482,519 ","$181,982,519 "
,,,,
7/27/18,Mission: Impossible—Fallout,"$178,000,000 ","$220,159,104 ","$787,978,070 "
,,,,
5/27/16,X-Men: Apocalypse,"$178,000,000 ","$155,442,489 ","$542,708,779 "
,,,,
6/6/14,Edge of Tomorrow,"$178,000,000 ","$100,206,256 ","$370,541,256 "
,,,,
4/15/16,The Jungle Book,"$175,000,000 ","$364,001,123 ","$963,819,542 "
,,,,
6/19/15,Inside Out,"$175,000,000 ","$356,461,711 ","$856,712,469 "
,,,,
7/7/17,Spider-Man: Homecoming,"$175,000,000 ","$334,201,140 ","$880,070,886 "
,,,,
8/5/16,Suicide Squad,"$175,000,000 ","$325,100,054 ","$746,100,054 "
,,,,
5/29/09,Up,"$175,000,000 ","$293,004,164 ","$731,463,377 "
,,,,
11/22/17,Coco,"$175,000,000 ","$209,726,015 ","$799,464,741 "
,,,,
3/27/09,Monsters vs. Aliens,"$175,000,000 ","$198,351,526 ","$381,687,380 "
,,,,
6/16/17,Cars 3,"$175,000,000 ","$152,901,115 ","$383,549,151 "
,,,,
8/7/09,G.I. Joe: The Rise of Cobra,"$175,000,000 ","$150,201,498 ","$302,469,017 "
,,,,
6/30/99,Wild Wild West,"$175,000,000 ","$113,805,681 ","$221,229,335 "
,,,,
8/1/08,The Mummy: Tomb of the Dragon Emperor,"$175,000,000 ","$102,491,776 ","$405,760,225 "
,,,,
6/22/07,Evan Almighty,"$175,000,000 ","$100,289,690 ","$174,131,329 "
,,,,
7/28/95,Waterworld,"$175,000,000 ","$88,246,220 ","$264,246,220 "
,,,,
5/12/17,King Arthur: Legend of the Sword,"$175,000,000 ","$39,175,066 ","$139,950,708 "
,,,,
12/25/13,47 Ronin,"$175,000,000 ","$38,362,475 ","$151,716,815 "
,,,,
12/31/20,Singularity,"$175,000,000 ",$0 ,$0 
,,,,
6/22/18,Jurassic World: Fallen Kingdom,"$170,000,000 ","$416,769,345 ","$1,304,866,322 "
,,,,
8/1/14,Guardians of the Galaxy,"$170,000,000 ","$333,172,112 ","$771,051,335 "
,,,,
5/7/10,Iron Man 2,"$170,000,000 ","$312,433,331 ","$621,156,389 "
,,,,
4/4/14,Captain America: The Winter Soldier,"$170,000,000 ","$259,746,958 ","$714,401,889 "
,,,,
7/11/14,Dawn of the Planet of the Apes,"$170,000,000 ","$208,545,589 ","$710,644,566 "
,,,,
11/10/04,The Polar Express,"$170,000,000 ","$186,493,587 ","$310,634,169 "
,,,,
6/1/12,Snow White and the Huntsman,"$170,000,000 ","$155,136,755 ","$401,021,746 "
,,,,
7/1/03,Terminator 3: Rise of the Machines,"$170,000,000 ","$150,358,296 ","$433,058,296 "
,,,,
5/7/04,Van Helsing,"$170,000,000 ","$120,150,546 ","$300,150,546 "
,,,,
5/22/15,Tomorrowland,"$170,000,000 ","$93,436,322 ","$207,283,457 "
,,,,
5/27/16,Alice Through the Looking Glass,"$170,000,000 ","$77,042,381 ","$276,934,087 "
,,,,
5/21/10,Shrek Forever After,"$165,000,000 ","$238,736,787 ","$756,244,673 "
,,,,
11/4/16,Doctor Strange,"$165,000,000 ","$232,641,920 ","$676,486,457 "
,,,,
11/7/14,Big Hero 6,"$165,000,000 ","$222,527,828 ","$652,127,828 "
,,,,
3/26/10,How to Train Your Dragon,"$165,000,000 ","$217,581,232 ","$494,870,992 "
,,,,
11/2/12,Wreck-It Ralph,"$165,000,000 ","$189,412,677 ","$496,511,521 "
,,,,
11/5/14,Interstellar,"$165,000,000 ","$188,017,894 ","$667,752,422 "
,,,,
6/24/16,Independence Day: Resurgence,"$165,000,000 ","$103,144,286 ","$384,404,973 "
,,,,
7/29/11,Cowboys and Aliens,"$163,000,000 ","$100,368,560 ","$176,038,324 "
,,,,
3/17/17,Beauty and the Beast,"$160,000,000 ","$504,014,165 ","$1,259,199,706 "
,,,,
5/17/07,Shrek the Third,"$160,000,000 ","$322,719,944 ","$807,330,936 "
,,,,
7/16/10,Inception,"$160,000,000 ","$292,576,195 ","$832,402,082 "
,,,,
11/20/15,The Hunger Games: Mockingjay - Part 2,"$160,000,000 ","$281,723,902 ","$648,986,787 "
,,,,
5/24/13,Fast and Furious 6,"$160,000,000 ","$238,679,850 ","$789,300,444 "
,,,,
5/16/14,Godzilla,"$160,000,000 ","$200,676,069 ","$529,076,069 "
,,,,
6/3/11,X-Men: First Class,"$160,000,000 ","$146,408,305 ","$355,408,305 "
,,,,
12/25/08,The Curious Case of Benjamin Button,"$160,000,000 ","$127,509,326 ","$329,631,958 "
,,,,
7/14/10,The Sorcerer's Apprentice,"$160,000,000 ","$63,150,991 ","$217,986,320 "
,,,,
5/12/06,Poseidon,"$160,000,000 ","$60,674,817 ","$181,674,817 "
,,,,
6/10/16,Warcraft,"$160,000,000 ","$47,225,655 ","$425,547,111 "
,,,,
12/21/18,Aquaman,"$160,000,000 ",$0 ,$0 
,,,,
9/30/16,Deepwater Horizon,"$156,000,000 ","$61,433,527 ","$122,631,306 "
,,,,
12/10/10,The Chronicles of Narnia: The Voyage of the Dawn Treader,"$155,000,000 ","$104,386,950 ","$418,186,950 "
,,,,
7/1/15,Terminator: Genisys,"$155,000,000 ","$89,760,956 ","$432,150,894 "
,,,,
3/23/18,Pacific Rim: Uprising,"$155,000,000 ","$59,185,715 ","$290,241,338 "
,,,,
11/24/04,Alexander,"$155,000,000 ","$34,297,191 ","$167,297,191 "
,,,,
7/14/17,War for the Planet of the Apes,"$152,000,000 ","$146,880,162 ","$489,592,267 "
,,,,
5/25/01,Pearl Harbor,"$151,500,000 ","$198,539,855 ","$449,239,855 "
,,,,
7/2/07,Transformers,"$151,000,000 ","$319,246,193 ","$708,272,592 "
,,,,
6/2/17,Wonder Woman,"$150,000,000 ","$412,563,408 ","$821,133,378 "
,,,,
11/22/13,Frozen,"$150,000,000 ","$400,738,009 ","$1,272,469,910 "
,,,,
3/4/16,Zootopia,"$150,000,000 ","$341,268,248 ","$1,019,706,594 "
,,,,
7/11/07,Harry Potter and the Order of the Phoenix,"$150,000,000 ","$292,004,738 ","$942,943,935 "
,,,,
11/18/05,Harry Potter and the Goblet of Fire,"$150,000,000 ","$290,013,036 ","$896,911,078 "
,,,,
5/15/03,The Matrix Reloaded,"$150,000,000 ","$281,553,689 ","$738,576,929 "
,,,,
12/14/07,I am Legend,"$150,000,000 ","$256,393,010 ","$585,532,684 "
,,,,
11/23/16,Moana,"$150,000,000 ","$248,757,044 ","$637,519,488 "
,,,,
7/1/08,Hancock,"$150,000,000 ","$227,946,274 ","$624,234,272 "
,,,,
7/15/05,Charlie and the Chocolate Factory,"$150,000,000 ","$206,459,076 ","$475,825,484 "
,,,,
6/29/07,Ratatouille,"$150,000,000 ","$206,445,654 ","$626,549,695 "
,,,,
11/8/13,Thor: The Dark World,"$150,000,000 ","$206,362,140 ","$644,602,516 "
,,,,
6/15/05,Batman Begins,"$150,000,000 ","$205,343,774 ","$359,142,722 "
,,,,
7/31/15,Mission: Impossible—Rogue Nation,"$150,000,000 ","$195,042,377 ","$689,388,363 "
,,,,
7/21/17,Dunkirk,"$150,000,000 ","$190,068,280 ","$499,900,860 "
,,,,
5/6/11,Thor,"$150,000,000 ","$181,030,624 ","$449,326,618 "
,,,,
11/7/08,Madagascar: Escape 2 Africa,"$150,000,000 ","$180,174,880 ","$599,680,774 "
,,,,
5/1/09,X-Men Origins: Wolverine,"$150,000,000 ","$179,883,157 ","$374,825,760 "
,,,,
5/22/09,Night at the Museum: Battle of the Smithsonian,"$150,000,000 ","$177,243,721 ","$402,231,063 "
,,,,
5/26/11,Kung Fu Panda 2,"$150,000,000 ","$165,249,063 ","$664,837,547 "
,,,,
5/15/15,Mad Max: Fury Road,"$150,000,000 ","$153,636,354 ","$370,651,733 "
,,,,
8/10/18,The Meg,"$150,000,000 ","$143,005,856 ","$527,350,140 "
,,,,
11/5/03,The Matrix Revolutions,"$150,000,000 ","$139,270,910 ","$427,300,260 "
,,,,
3/29/18,Ready Player One,"$150,000,000 ","$137,018,455 ","$578,621,729 "
,,,,
5/5/06,Mission: Impossible III,"$150,000,000 ","$133,501,348 ","$397,501,348 "
,,,,
5/15/09,Angels & Demons,"$150,000,000 ","$133,375,846 ","$490,875,846 "
,,,,
5/14/04,Troy,"$150,000,000 ","$133,298,577 ","$484,161,265 "
,,,,
7/1/10,The Last Airbender,"$150,000,000 ","$131,772,187 ","$319,713,881 "
,,,,
11/2/07,Bee Movie,"$150,000,000 ","$126,631,277 ","$287,594,577 "
,,,,
7/24/09,G-Force,"$150,000,000 ","$119,436,770 ","$292,817,841 "
,,,,
11/21/08,Bolt,"$150,000,000 ","$114,053,579 ","$328,015,029 "
,,,,
3/30/12,Wrath of the Titans,"$150,000,000 ","$83,670,083 ","$305,270,083 "
,,,,
11/16/07,Beowulf,"$150,000,000 ","$82,280,579 ","$195,080,579 "
,,,,
5/11/12,Dark Shadows,"$150,000,000 ","$79,727,149 ","$238,202,668 "
,,,,
6/28/13,White House Down,"$150,000,000 ","$73,103,784 ","$205,440,387 "
,,,,
2/12/10,The Wolfman,"$150,000,000 ","$62,189,884 ","$142,634,358 "
,,,,
2/17/17,The Great Wall,"$150,000,000 ","$45,157,105 ","$334,550,106 "
,,,,
10/9/15,Pan,"$150,000,000 ","$35,088,320 ","$151,543,635 "
,,,,
3/11/11,Mars Needs Moms,"$150,000,000 ","$21,392,758 ","$39,549,758 "
,,,,
11/3/06,Flushed Away,"$149,000,000 ","$64,665,672 ","$179,357,126 "
,,,,
6/8/12,Madagascar 3: Europe's Most Wanted,"$145,000,000 ","$216,391,482 ","$746,921,271 "
,,,,
12/16/11,Mission: Impossible—Ghost Protocol,"$145,000,000 ","$209,397,903 ","$694,713,230 "
,,,,
6/13/14,How to Train Your Dragon 2,"$145,000,000 ","$177,002,924 ","$614,586,270 "
,,,,
6/16/99,Tarzan,"$145,000,000 ","$171,091,819 ","$448,191,819 "
,,,,
3/7/14,Mr. Peabody & Sherman,"$145,000,000 ","$111,506,430 ","$269,806,430 "
,,,,
11/21/12,Rise of the Guardians,"$145,000,000 ","$103,412,758 ","$306,900,902 "
,,,,
4/8/05,Sahara,"$145,000,000 ","$68,671,925 ","$121,671,925 "
,,,,
7/15/16,Ghostbusters,"$144,000,000 ","$128,350,574 ","$229,034,050 "
,,,,
11/22/02,Die Another Day,"$142,000,000 ","$160,942,139 ","$431,942,139 "
,,,,
7/9/03,Pirates of the Caribbean: The Curse of the Black Pearl,"$140,000,000 ","$305,411,224 ","$634,954,103 "
,,,,
5/8/09,Star Trek,"$140,000,000 ","$257,730,019 ","$385,680,446 "
,,,,
7/1/98,Armageddon,"$140,000,000 ","$201,578,182 ","$554,600,000 "
,,,,
7/3/02,Men in Black 2,"$140,000,000 ","$190,418,803 ","$441,767,803 "
,,,,
7/22/11,Captain America: The First Avenger,"$140,000,000 ","$176,654,505 ","$370,569,776 "
,,,,
1/29/16,Kung Fu Panda 3,"$140,000,000 ","$143,528,619 ","$518,418,751 "
,,,,
7/10/98,Lethal Weapon 4,"$140,000,000 ","$130,444,603 ","$285,400,000 "
,,,,
3/27/13,G.I. Joe: Retaliation,"$140,000,000 ","$122,523,060 ","$375,740,705 "
,,,,
12/5/03,The Last Samurai,"$140,000,000 ","$111,110,575 ","$456,810,575 "
,,,,
12/21/05,Fun With Dick And Jane,"$140,000,000 ","$110,550,000 ","$203,018,919 "
,,,,
12/12/14,Exodus: Gods and Kings,"$140,000,000 ","$65,014,513 ","$268,314,513 "
,,,,
7/1/16,The BFG,"$140,000,000 ","$55,483,770 ","$199,673,597 "
,,,,
2/26/16,Gods of Egypt,"$140,000,000 ","$31,153,464 ","$138,587,563 "
,,,,
5/3/02,Spider-Man,"$139,000,000 ","$403,706,375 ","$821,706,375 "
,,,,
3/6/09,Watchmen,"$138,000,000 ","$107,509,799 ","$186,976,250 "
,,,,
7/29/05,Stealth,"$138,000,000 ","$32,116,746 ","$76,416,746 "
,,,,
6/13/08,The Incredible Hulk,"$137,500,000 ","$134,806,913 ","$265,573,859 "
,,,,
6/20/03,Hulk,"$137,000,000 ","$132,177,234 ","$245,075,434 "
,,,,
7/11/01,Final Fantasy: The Spirits Within,"$137,000,000 ","$32,131,830 ","$85,131,830 "
,,,,
11/16/12,"The Twilight Saga: Breaking Dawn, Part 2","$136,200,000 ","$292,324,737 ","$829,724,737 "
,,,,
3/22/13,The Croods,"$135,000,000 ","$187,168,425 ","$573,068,425 "
,,,,
12/25/15,The Revenant,"$135,000,000 ","$183,637,894 ","$532,950,503 "
,,,,
11/19/99,The World is Not Enough,"$135,000,000 ","$126,930,660 ","$361,730,660 "
,,,,
3/4/11,Rango,"$135,000,000 ","$123,477,607 ","$245,724,600 "
,,,,
11/14/03,Master and Commander: The Far Side of the World,"$135,000,000 ","$93,926,386 ","$212,912,137 "
,,,,
7/17/13,Turbo,"$135,000,000 ","$83,028,130 ","$286,896,578 "
,,,,
6/3/16,Teenage Mutant Ninja Turtles: Out of the Shadows,"$135,000,000 ","$82,051,601 ","$245,623,848 "
,,,,
11/18/11,Happy Feet Two,"$135,000,000 ","$64,006,466 ","$157,956,466 "
,,,,
7/28/06,Miami Vice,"$135,000,000 ","$63,478,838 ","$163,818,556 "
,,,,
11/2/18,The Nutcracker and the Four Realms,"$132,900,000 ","$6,000,000 ","$6,000,000 "
,,,,
6/29/05,War of the Worlds,"$132,000,000 ","$234,280,354 ","$606,836,535 "
,,,,
11/26/14,Penguins of Madagascar,"$132,000,000 ","$83,350,911 ","$367,650,911 "
,,,,
11/22/13,The Hunger Games: Catching Fire,"$130,000,000 ","$424,668,047 ","$864,868,047 "
,,,,
6/4/04,Harry Potter and the Prisoner of Azkaban,"$130,000,000 ","$249,538,952 ","$796,688,549 "
,,,,
8/3/07,The Bourne Ultimatum,"$130,000,000 ","$227,471,070 ","$444,043,396 "
,,,,
7/6/18,Ant-Man and the Wasp,"$130,000,000 ","$216,648,740 ","$617,260,330 "
,,,,
6/6/08,Kung Fu Panda,"$130,000,000 ","$215,434,591 ","$631,910,531 "
,,,,
7/17/15,Ant-Man,"$130,000,000 ","$180,202,163 ","$518,860,086 "
,,,,
3/27/15,Home,"$130,000,000 ","$177,397,510 ","$385,997,896 "
,,,,
10/28/11,Puss in Boots,"$130,000,000 ","$149,260,504 ","$554,987,477 "
,,,,
11/5/10,Megamind,"$130,000,000 ","$148,415,853 ","$321,887,208 "
,,,,
7/18/03,Bad Boys II,"$130,000,000 ","$138,540,870 ","$273,271,982 "
,,,,
4/11/14,Rio 2,"$130,000,000 ","$131,538,435 ","$492,846,291 "
,,,,
7/23/10,Salt,"$130,000,000 ","$118,311,368 ","$290,650,494 "
,,,,
3/28/14,Noah,"$130,000,000 ","$101,200,044 ","$352,831,065 "
,,,,
12/21/11,The Adventures of Tintin,"$130,000,000 ","$77,591,831 ","$373,993,951 "
,,,,
5/31/13,After Earth,"$130,000,000 ","$60,522,097 ","$251,499,665 "
,,,,
11/26/08,Australia,"$130,000,000 ","$49,554,002 ","$215,080,810 "
,,,,
7/19/13,R.I.P.D.,"$130,000,000 ","$33,618,855 ","$79,076,678 "
,,,,
11/18/11,"The Twilight Saga: Breaking Dawn, Part 1","$127,500,000 ","$281,287,133 ","$689,420,051 "
,,,,
5/19/00,Dinosaur,"$127,500,000 ","$137,748,063 ","$356,148,063 "
,,,,
3/3/17,Logan,"$127,000,000 ","$226,277,068 ","$615,476,965 "
,,,,
12/19/14,Night at the Museum: Secret of the Tomb,"$127,000,000 ","$113,746,621 ","$353,756,621 "
,,,,
7/15/11,Harry Potter and the Deathly Hallows: Part II,"$125,000,000 ","$381,011,219 ","$1,341,511,219 "
,,,,
11/21/14,The Hunger Games: Mockingjay - Part 1,"$125,000,000 ","$337,135,885 ","$766,652,288 "
,,,,
11/16/01,Harry Potter and the Sorcerer’s Stone,"$125,000,000 ","$317,575,550 ","$974,755,371 "
,,,,
11/19/10,Harry Potter and the Deathly Hallows: Part I,"$125,000,000 ","$295,983,305 ","$960,283,305 "
,,,,
5/19/06,The Da Vinci Code,"$125,000,000 ","$217,536,138 ","$767,820,459 "
,,,,
5/2/03,X-Men 2,"$125,000,000 ","$214,949,694 ","$406,875,536 "
,,,,
4/29/11,Fast Five,"$125,000,000 ","$210,031,325 ","$630,163,454 "
,,,,
8/8/14,Teenage Mutant Ninja Turtles,"$125,000,000 ","$191,204,754 ","$485,004,754 "
,,,,
12/16/11,Sherlock Holmes: A Game of Shadows,"$125,000,000 ","$186,848,418 ","$535,663,443 "
,,,,
5/28/04,The Day After Tomorrow,"$125,000,000 ","$186,740,799 ","$556,319,450 "
,,,,
3/31/17,The Boss Baby,"$125,000,000 ","$175,003,033 ","$510,888,357 "
,,,,
4/1/10,Clash of the Titans,"$125,000,000 ","$163,214,888 ","$493,214,888 "
,,,,
11/4/16,Trolls,"$125,000,000 ","$153,707,064 ","$344,527,425 "
,,,,
5/19/98,Godzilla,"$125,000,000 ","$136,314,294 ","$376,000,000 "
,,,,
6/8/12,Prometheus,"$125,000,000 ","$126,477,084 ","$402,448,265 "
,,,,
8/10/12,The Bourne Legacy,"$125,000,000 ","$113,203,870 ","$280,355,920 "
,,,,
6/20/97,Batman & Robin,"$125,000,000 ","$107,325,195 ","$238,317,814 "
,,,,
7/13/18,Skyscraper,"$125,000,000 ","$67,796,355 ","$304,097,355 "
,,,,
8/3/12,Total Recall,"$125,000,000 ","$58,877,969 ","$211,856,088 "
,,,,
12/21/16,Assassin’s Creed,"$125,000,000 ","$54,647,948 ","$240,786,768 "
,,,,
1/13/17,Monster Trucks,"$125,000,000 ","$33,370,166 ","$61,642,798 "
,,,,
8/27/99,The 13th Warrior,"$125,000,000 ","$32,698,899 ","$61,698,899 "
,,,,
11/17/00,How the Grinch Stole Christmas,"$123,000,000 ","$260,044,825 ","$345,141,403 "
,,,,
5/24/00,Mission: Impossible 2,"$120,000,000 ","$215,409,889 ","$549,588,516 "
,,,,
6/30/00,The Perfect Storm,"$120,000,000 ","$182,618,434 ","$328,711,434 "
,,,,
7/29/16,Jason Bourne,"$120,000,000 ","$162,192,920 ","$416,197,059 "
,,,,
6/15/07,Fantastic Four: Rise of the Silver Surfer,"$120,000,000 ","$131,921,738 ","$289,480,691 "
,,,,
11/21/12,Life of Pi,"$120,000,000 ","$124,987,022 ","$607,258,634 "
,,,,
2/16/07,Ghost Rider,"$120,000,000 ","$115,802,596 ","$229,545,589 "
,,,,
6/27/03,Charlie's Angels: Full Throttle,"$120,000,000 ","$100,814,328 ","$227,200,000 "
,,,,
4/13/18,Rampage,"$120,000,000 ","$99,345,950 ","$424,745,950 "
,,,,
8/9/13,Elysium,"$120,000,000 ","$93,050,117 ","$286,192,091 "
,,,,
4/19/13,Oblivion,"$120,000,000 ","$89,107,235 ","$287,916,633 "
,,,,
